Celltype	Group	Mapped	Filtered	Lost	Lost_Percent	Size
BE2C	repeat	15040143	13756347	1283796	0	416857761
BE2C	LINE	34998216	31870450	3127766	0	1030143544
BE2C	satellite	3454208	576928	2877280	0	73546523
BE2C	segdup	7598567	3624241	3974326	0	174601649
BE2C	nonrep	54559336	50018478	4540858	0	1538317683
HAP-1	repeat	17084686	14307857	2776829	0	416857761
HAP-1	LINE	42551785	35549151	7002634	0	1030143544
HAP-1	satellite	4318286	688361	3629925	0	73546523
HAP-1	segdup	9123563	3925874	5197689	0	174601649
HAP-1	nonrep	64167334	54145457	10021877	0	1538317683
epithelial_cell_of_prostate_male	repeat	16536137	15656761	879376	0	416857761
epithelial_cell_of_prostate_male	LINE	43400097	40933512	2466585	0	1030143544
epithelial_cell_of_prostate_male	satellite	4504548	842450	3662098	0	73546523
epithelial_cell_of_prostate_male	segdup	9783208	4694003	5089205	0	174601649
epithelial_cell_of_prostate_male	nonrep	59968280	57163706	2804574	0	1538317683
Caco-2	repeat	28840758	22919776	5920982	0	416857761
Caco-2	LINE	71114643	56581804	14532839	0	1030143544
Caco-2	satellite	7003523	1198056	5805467	0	73546523
Caco-2	segdup	16622291	6730093	9892198	0	174601649
Caco-2	nonrep	107898297	85822619	22075678	0	1538317683
RWPE2	repeat	18359941	15967940	2392001	0	416857761
RWPE2	LINE	43179093	37540924	5638169	0	1030143544
RWPE2	satellite	4321850	744581	3577269	0	73546523
RWPE2	segdup	11677143	4401216	7275927	0	174601649
RWPE2	nonrep	66795965	58663773	8132192	0	1538317683
RWPE1	repeat	39243419	35382761	3860658	0	416857761
RWPE1	LINE	86953859	77688926	9264933	0	1030143544
RWPE1	satellite	11193407	1817836	9375571	0	73546523
RWPE1	segdup	19504155	9610790	9893365	0	174601649
RWPE1	nonrep	119936164	108367299	11568865	0	1538317683
22Rv1	repeat	19040219	18266201	774018	0	416857761
22Rv1	LINE	50843097	48606750	2236347	0	1030143544
22Rv1	satellite	5880649	1168798	4711851	0	73546523
22Rv1	segdup	11731793	5938519	5793274	0	174601649
22Rv1	nonrep	69776008	67553178	2222830	0	1538317683
MG63	repeat	22523589	13800660	8722929	0	416857761
MG63	LINE	57249009	35108811	22140198	0	1030143544
MG63	satellite	5850433	709407	5141026	0	73546523
MG63	segdup	12194760	3674674	8520086	0	174601649
MG63	nonrep	88026149	54045924	33980225	0	1538317683
HL-60	repeat	19636424	12795121	6841303	0	416857761
HL-60	LINE	48794207	31744194	17050013	0	1030143544
HL-60	satellite	5256980	678960	4578020	0	73546523
HL-60	segdup	10433461	3680300	6753161	0	174601649
HL-60	nonrep	71866002	46833455	25032547	0	1538317683
brain_microvascular_endothelial_cell	repeat	7074864	6213925	860939	0	416857761
brain_microvascular_endothelial_cell	LINE	17511076	15296903	2214173	0	1030143544
brain_microvascular_endothelial_cell	satellite	1755941	312565	1443376	0	73546523
brain_microvascular_endothelial_cell	segdup	4101216	1725189	2376027	0	174601649
brain_microvascular_endothelial_cell	nonrep	26348769	23206372	3142397	0	1538317683
C4-2B	repeat	10322822	9758021	564801	0	416857761
C4-2B	LINE	31796932	29703783	2093149	0	1030143544
C4-2B	satellite	3724360	555297	3169063	0	73546523
C4-2B	segdup	7285896	3655320	3630576	0	174601649
C4-2B	nonrep	34706406	32860195	1846211	0	1538317683
SJCRH30	repeat	27551526	20244357	7307169	0	416857761
SJCRH30	LINE	69567148	51321842	18245306	0	1030143544
SJCRH30	satellite	6563931	1061881	5502050	0	73546523
SJCRH30	segdup	13854062	5978833	7875229	0	174601649
SJCRH30	nonrep	105021583	77832575	27189008	0	1538317683
SJSA1	repeat	28020868	20950954	7069914	0	416857761
SJSA1	LINE	71291221	53360769	17930452	0	1030143544
SJSA1	satellite	7446278	1159692	6286586	0	73546523
SJSA1	segdup	14956585	5885079	9071506	0	174601649
SJSA1	nonrep	107753160	81044752	26708408	0	1538317683
VCaP	repeat	15904095	15012829	891266	0	416857761
VCaP	LINE	40989967	38571223	2418744	0	1030143544
VCaP	satellite	4860592	927847	3932745	0	73546523
VCaP	segdup	9246338	4549793	4696545	0	174601649
VCaP	nonrep	55998870	53343502	2655368	0	1538317683
