Cell type	Mark	Array	Control	Treat
brain microvascular endothelial cell	H3K27ac	bsat_1_1(LSAU-BSAT_Composite)	6410	19864
brain microvascular endothelial cell	H3K27ac	bsat_3_1(LSAU-BSAT_Composite)	116	402
brain microvascular endothelial cell	H3K27ac	bsat_4_1	11	33
brain microvascular endothelial cell	H3K27ac	bsat_5_1	23	94
brain microvascular endothelial cell	H3K27ac	bsat_5_2(LSAU-BSAT_Composite)	272	850
brain microvascular endothelial cell	H3K27ac	bsat_7_1	58	293
brain microvascular endothelial cell	H3K27ac	bsat_7_2	150	429
brain microvascular endothelial cell	H3K27ac	bsat_7_3	62	180
brain microvascular endothelial cell	H3K27ac	bsat_7_4	95	356
brain microvascular endothelial cell	H3K27ac	bsat_7_5	68	323
brain microvascular endothelial cell	H3K27ac	bsat_7_6	64	257
brain microvascular endothelial cell	H3K27ac	bsat_7_7	237	997
brain microvascular endothelial cell	H3K27ac	bsat_7_8	214	814
brain microvascular endothelial cell	H3K27ac	bsat_7_9	34	97
brain microvascular endothelial cell	H3K27ac	bsat_7_10	905	2965
brain microvascular endothelial cell	H3K27ac	bsat_8_1	229	725
brain microvascular endothelial cell	H3K27ac	bsat_8_2	35	146
brain microvascular endothelial cell	H3K27ac	bsat_8_3	145	535
brain microvascular endothelial cell	H3K27ac	bsat_8_4	324	1084
brain microvascular endothelial cell	H3K27ac	bsat_8_5	160	581
brain microvascular endothelial cell	H3K27ac	bsat_8_6	13	40
brain microvascular endothelial cell	H3K27ac	bsat_9_1(LSAU-BSAT_Composite,no_beta)	8	44
brain microvascular endothelial cell	H3K27ac	bsat_9_2(LSAU-BSAT_Composite,no_beta)	16	69
brain microvascular endothelial cell	H3K27ac	bsat_9_3(LSAU-BSAT_Composite,no_beta)	24	69
brain microvascular endothelial cell	H3K27ac	bsat_9_4	143	521
brain microvascular endothelial cell	H3K27ac	bsat_9_5	1483	4193
brain microvascular endothelial cell	H3K27ac	bsat_9_6(LSAU-BSAT_Composite,no_beta)	10	50
brain microvascular endothelial cell	H3K27ac	bsat_9_7(LSAU-BSAT_Composite,no_beta)	54	238
brain microvascular endothelial cell	H3K27ac	bsat_10_1(LSAU-BSAT_Composite)	198	784
brain microvascular endothelial cell	H3K27ac	bsat_13_2-DJ13	97	207
brain microvascular endothelial cell	H3K27ac	bsat_13_3-DJ13	32	92
brain microvascular endothelial cell	H3K27ac	bsat_13_4(LSAU-BSAT_Composite)	132	192
brain microvascular endothelial cell	H3K27ac	bsat_13_5	4	2
brain microvascular endothelial cell	H3K27ac	bsat_13_6	42	177
brain microvascular endothelial cell	H3K27ac	bsat_13_7(LSAU-BSAT_Composite,no_beta)	10	6
brain microvascular endothelial cell	H3K27ac	bsat_13_8(LSAU-BSAT_Composite,no_beta)	4	26
brain microvascular endothelial cell	H3K27ac	bsat_14_1(LSAU-BSAT_Composite)	1220	2409
brain microvascular endothelial cell	H3K27ac	bsat_14_2(LSAU-BSAT_Composite)	190	376
brain microvascular endothelial cell	H3K27ac	bsat_14_3-DJ14	26	60
brain microvascular endothelial cell	H3K27ac	bsat_14_4-DJ14	67	633
brain microvascular endothelial cell	H3K27ac	bsat_14_5(LSAU-BSAT_Composite)	804	2049
brain microvascular endothelial cell	H3K27ac	bsat_14_6	66	172
brain microvascular endothelial cell	H3K27ac	bsat_14_8	2436	12231
brain microvascular endothelial cell	H3K27ac	bsat_14_7(LSAU-BSAT_Composite,no_beta)	24	58
brain microvascular endothelial cell	H3K27ac	bsat_14_9	2982	12897
brain microvascular endothelial cell	H3K27ac	bsat_14_10(LSAU-BSAT_Composite,no_beta)	33	81
brain microvascular endothelial cell	H3K27ac	bsat_14_11(LSAU-BSAT_Composite,no_beta)	30	112
brain microvascular endothelial cell	H3K27ac	bsat_14_12(LSAU-BSAT_Composite,no_beta)	12	35
brain microvascular endothelial cell	H3K27ac	bsat_14_13(LSAU-BSAT_Composite,no_beta)	21	28
brain microvascular endothelial cell	H3K27ac	bsat_14_14(LSAU-BSAT_Composite,no_beta)	42	92
brain microvascular endothelial cell	H3K27ac	bsat_14_15(LSAU-BSAT_Composite,no_beta)	42	90
brain microvascular endothelial cell	H3K27ac	bsat_14_16(LSAU-BSAT_Composite,no_beta)	15	48
brain microvascular endothelial cell	H3K27ac	bsat_15_1(LSAU-BSAT_Composite)	636	10324
brain microvascular endothelial cell	H3K27ac	bsat_15_2(LSAU-BSAT_Composite)	2	93
brain microvascular endothelial cell	H3K27ac	bsat_15_3-DJ15	59	213
brain microvascular endothelial cell	H3K27ac	bsat_15_4-DJ15	46	268
brain microvascular endothelial cell	H3K27ac	bsat_15_5(LSAU-BSAT_Composite)	2	50
brain microvascular endothelial cell	H3K27ac	bsat_15_7(LSAU-BSAT_Composite,no_beta)	19	76
brain microvascular endothelial cell	H3K27ac	bsat_15_8(LSAU-BSAT_Composite,no_beta)	88	223
brain microvascular endothelial cell	H3K27ac	bsat_15_9(LSAU-BSAT_Composite,no_beta)	23	74
brain microvascular endothelial cell	H3K27ac	bsat_15_10(LSAU-BSAT_Composite,no_beta)	91	287
brain microvascular endothelial cell	H3K27ac	bsat_16_5(LSAU-BSAT_Composite,no_beta)	115	286
brain microvascular endothelial cell	H3K27ac	bsat_16_6	295	676
brain microvascular endothelial cell	H3K27ac	bsat_16_7	39	185
brain microvascular endothelial cell	H3K27ac	bsat_16_8	32	138
brain microvascular endothelial cell	H3K27ac	bsat_16_9	36	96
