track	chm13v1	GRCh38p13	lifted	overlap
Caco-2_H3K9me3	56529	47934	46787	45269
BE2C_H3K36me3	45183	42825	42729	42365
HAP-1_H3K9me3	19797	13654	12542	11066
MG63_H3K9me3	68423	58105	57075	55829
HAP-1_H3K36me3	51480	48800	48592	47930
SJSA1_H3K9me3	52713	38694	37471	36053
brain_microvascular_endothelial_cell_H3K27me3	20305	15155	15101	14809
BE2C_H3K27me3	46699	42003	41878	41185
HAP-1_H3K27me3	78450	67353	67204	66527
SJCRH30_H3K9me3	37055	31892	31448	30509
MG63_H3K36me3	63349	60280	60123	59512
SJCRH30_H3K27me3	41396	34480	34111	33300
SJSA1_H3K27me3	55248	46204	45960	45185
BE2C_H3K9me3	6980	4402	4119	3413
brain_microvascular_endothelial_cell_H3K36me3	47649	46957	46885	45285
SJSA1_H3K36me3	60277	57440	57227	56547
MG63_H3K27me3	52721	44750	44627	43690
RWPE2_H3K36me3	53799	50589	50421	49782
SJCRH30_H3K36me3	71487	67042	66896	66196
HAP-1_H3K27ac	40734	39012	38910	38576
HAP-1_H3K4me1	116862	111856	111764	111221
SJCRH30_H3K4me3	28985	28134	28112	27949
epithelial_cell_of_prostate_male_H3K27ac	69678	67854	67818	67583
SJSA1_H3K27ac	56557	55015	54956	54703
VCaP_H3K27ac	84065	80044	79998	79590
RWPE2_H3K27ac	54006	52476	52431	52187
BE2C_H3K4me1	78660	75922	75877	75495
SJSA1_H3K4me3	19750	19181	19161	19063
Caco-2_H3K4me1	108914	104415	104343	103708
HL-60_H3K27ac	42731	41610	41562	41263
SJCRH30_H3K4me1	108471	104139	104053	103464
SJCRH30_H3K27ac	49252	47985	47895	47659
22Rv1_H3K27ac	44342	41994	41956	41640
brain_microvascular_endothelial_cell_H3K27ac	55276	53803	53764	53540
HAP-1_H3K4me3	18905	18285	18247	18066
MG63_H3K4me3	24084	23385	23356	23180
RWPE1_H3K27ac	84194	81591	81518	80694
C4-2B_H3K27ac	52002	50261	50223	49834
