,,,,chm13v1,chm13v1,chm13v1,chm13v1,GRCh38p13,GRCh38p13,GRCh38p13,GRCh38p13
Experiment,Cell type,Target,Total Reads,mapped,filtered,dedup,kmer,mapped,filtered,dedup,kmer
ENCSR032CAS,brain microvascular endothelial cell,H3K27me3,196902690,188017807,177534117,146046861,144671206,186932789,174458491,143468368,141245263
ENCSR587VHH,brain microvascular endothelial cell,H3K36me3,178743303,170449722,160639566,140306994,139199842,169296260,157974073,137920005,136047662
ENCSR111QCU,brain microvascular endothelial cell,H3K27ac,156477361,148872652,142194552,113817055,112811953,148194485,139932189,111989504,110450540
ENCSR000JGO,brain microvascular endothelial cell,Control,30671006,28602786,26753085,24240435,23867891,28395933,26379263,23892654,23377477
ENCSR744EKG,MG63,H3K9me3,160448724,154518139,141953759,109513894,108484974,153965601,140896127,108471813,106130688
ENCSR804JFU,MG63,H3K27me3,164358714,160581781,152137238,109510234,108820488,160574537,150121959,108019733,106244001
ENCSR579SNM,MG63,H3K4me3,158379699,154257573,147740003,103723993,103224316,154285282,145304228,101984794,100723359
ENCSR380ORO,MG63,H3K36me3,166767084,163129499,154818189,126737376,125984813,163064972,152789583,125023080,123195600
ENCSR302CFJ,MG63,Control,95897332,93002356,87734185,55582148,54814926,92921970,86841919,54960099,53669738
ENCSR444YIP,BE2C,H3K9me3,147926164,144509964,133802708,120946644,119708089,142285306,131822504,119007459,116769799
ENCSR780XZD,BE2C,H3K27me3,148600949,143862760,135816814,116995668,116031811,142693895,133447598,114898351,113156900
ENCSR874NDX,BE2C,H3K4me1,152539294,149738143,142329466,131903077,131063306,148521294,140210167,129845773,128292148
ENCSR114YOX,BE2C,H3K36me3,157327217,152765137,144689676,129377963,128438273,151422655,142312856,127169799,125471441
ENCSR377FNA,BE2C,Control,59845078,58377426,54981558,51798200,51054079,57825235,54180202,51000043,49923222
ENCSR460TQV,HAP-1,H3K9me3,181191894,176884661,161052651,114202770,112842711,174315108,159089623,112586446,110141062
